text
Une tempête s'est abattue sur la région hier soir.
Des inondations ont été signalées dans plusieurs villes.
Un incendie de forêt a éclaté près de Marseille.
Une canicule extrême frappe le sud de la France.
Des chercheurs de l'EPFL ont découvert un nouveau virus.
Le niveau du fleuve a atteint un record historique.
Des glissements de terrain ont détruit plusieurs maisons.
Kylian Mbappé a été élu meilleur joueur de l'année.
Une sécheresse prolongée affecte les cultures agricoles.
Il fait beau aujourd'hui mais il va pleuvoir demain.
Des vents violents ont endommagé de nombreux bâtiments.
La qualité de l'air s'est fortement dégradée en raison des feux.
Des vagues de froid sans précédent ont été enregistrées.
